排名,BRAND,MODEL,Detail,總分,Price_分數,CL_分數,Performance_分數,Stability_分數,Capacity_分數,Speed_分數
42,美光 Micron Crucial NB,32GB,D5-6000/CL28 Lancer RGB黑(AX5U6000C2816G-DCLARBK)雙參,-1395.96,-1398.2,1.696,0.096,0.128,0.16,0.16
43,美光 Micron Crucial NB,雙通16G*2,D5-6000/CL28 Lancer RGB白(AX5U6000C2816G-DCLARWH)雙參,-1415.96,-1418.2,1.696,0.096,0.128,0.16,0.16
44,威剛,32GB(雙通16G*2),D5-6400/CL32 LancerBlade矮 黑(AX5U6400C3216G-DTLABBK)雙參,-1416.008,-1418.2,1.696,0.048,0.128,0.16,0.16
45,宏碁 Acer Predator Pallas II,32GB(雙通16GB*2),D5-6400/CL32 Lancer RGB黑(AX5U6400C3216G-DCLARBK)雙參,-1436.008,-1438.2,1.696,0.048,0.128,0.16,0.16
46,UMAX,單條32GB,D5-6400/CL32 Lancer RGB白(AX5U6400C3216G-DCLARWH)雙參,-1456.208,-1458.4,1.696,0.048,0.128,0.16,0.16
47,十銓 T-CREATE EXPERT,32GB(16GB*2),D5-6000/CL30 LancerBlade矮RGB黑(AX5U6000C3024G-DTLABRBK)雙參,-1476.008,-1478.2,1.696,0.048,0.128,0.16,0.16
48,金士頓 NB,32GB,D5-6000/CL30 LancerBlade矮RGB白AX5U6000C3024G-DTLABRWH雙參,-1476.16,-1478.4,1.696,0.096,0.128,0.16,0.16
49,芝奇 G.SKILL Ripjaws V,32GB(雙通16GB*2),D5-6400/CL32 LancerBlade矮RGB黑(AX5U6400C3224G-DTLABRBK)雙參,-1486.208,-1488.4,1.696,0.048,0.128,0.16,0.16
50,Biwin 佰維 Black Opal DW100 RGB,32GB(雙通16GBx2),D5-6400/CL32 LancerBlade矮RGB白AX5U6400C3224G-DTLABRWH雙參,-1496.008,-1498.2,1.696,0.048,0.128,0.16,0.16
51,芝奇 Ripjaws S5焰刃,32GB(雙通16G*2),D5-5600/CL46 LancerBlade矮 黑(AX5U5600C4632G-DTLABBK)雙參,-1512.208,-1514.4,1.696,0.048,0.128,0.16,0.16
52,宏碁 Acer HT200,32GB(雙通16GB*2),D5-5600/CL36 Lancer白(AX5U5600C3632G-DCLAWH)雙參,-1526.208,-1528.4,1.696,0.048,0.128,0.16,0.16
53,Biwin 佰維 Black Opal HX100,32GB(雙通16GBx2),D5-6000/CL30 LancerBlade矮 黑(AX5U6000C3032G-DTLABBK)雙參,-1533.808,-1536,1.696,0.048,0.128,0.16,0.16
54,KLEVV(科賦),32GB(雙通道16GB*2),D5-6000/CL30 LancerBlade矮 白(AX5U6000C3032G-DTLABWH)雙參,-1536.008,-1538.2,1.696,0.048,0.128,0.16,0.16
55,KLEVV(科賦),32GB(雙通16GB*2),D5-6000/CL30 LancerBlade矮RGB黑(AX5U6000C3032G-DTLABRBK)雙參,-1536.008,-1538.2,1.696,0.048,0.128,0.16,0.16
56,十銓T-CREATE EXPERT 引領者,32GB(雙通16GB*2),D5-6000/CL30 LancerBlade矮RGB白AX5U6000C3032G-DTLABRWH雙參,-1536.008,-1538.2,1.696,0.048,0.128,0.16,0.16
57,金士頓,32GB(雙通16GB*2),D5-6000/CL30 Lancer黑(AX5U6000C3032G-DCLABK)雙參,-1536.16,-1538.4,1.696,0.096,0.128,0.16,0.16
58,海盜船 VENGEANCE,32G(16G*2),D5-6000/CL30 Lancer白(AX5U6000C3032G-DCLAWH)雙參,-1546.008,-1548.2,1.696,0.048,0.128,0.16,0.16
59,宏碁 Acer Predator Vesta II RGB,32GB(雙通16GB*2),D5-5600/CL36 Lancer RGB黑(AX5U5600C3632G-DCLARBK)雙參,-1596.008,-1598.2,1.696,0.048,0.128,0.16,0.16
60,芝奇 G.SKILL 焰光戟,32GB(雙通16GB*2),D5-6000/CL30 Lancer RGB白(AX5U6000C3032G-DCLARWH)雙參,-1596.16,-1598.4,1.696,0.096,0.128,0.16,0.16
61,芝奇 G.SKILL 燄光戟,32GB(雙通16GB*2),D5-6400/CL32 Lancer RGB黑(AX5U6400C3232G-DCLARBK)雙參,-1606.16,-1608.4,1.696,0.096,0.128,0.16,0.16
62,芝奇 RipjawsM5 RGB焰刃,32GB(16G*2),D5-6400/CL32 Lancer RGB白(AX5U6400C3232G-DCLARWH)雙參,-1656.208,-1658.4,1.696,0.048,0.128,0.16,0.16
63,芝奇 G.SKILL 幻光戟,32GB(雙通16GB*2),D5-7200/CL34 Lancer RGB黑(AX5U7200C3416G-DCLARBK),-1656.208,-1658.4,1.696,0.048,0.128,0.16,0.16
64,宏碁 Acer Predator Hermes RGB,32GB(雙通16GB*2),D5-6000 CL36 銀 [雙參數],-1676.008,-1678.2,1.696,0.048,0.128,0.16,0.16
65,十銓T-Force Delta 炫光RGB系列,32GB(雙通16GB*2),D5-6000 CL28 黑 [雙參數]限時限量~,-1676.008,-1678.2,1.696,0.048,0.128,0.16,0.16
66,十銓XTREEM 玄鏡散熱片,32GB(雙通16GB*2),D5-6000 CL28 黑 [雙參數],-1676.008,-1678.2,1.696,0.048,0.128,0.16,0.16
67,芝奇 G.SKILL 皇家戟,32GB(雙通16GB*2),D5-6000 CL36 黑 [雙參數],-1686.208,-1688.4,1.648,0.096,0.128,0.16,0.16
68,芝奇 焰鋒戟RGB,32GB(雙通16GB*2),D5-6000 CL36 白 [雙參數],-1714.272,-1716.4,1.696,0.048,0.064,0.16,0.16
69,UMAX,64GB(雙通32GB*2),D5-6000 CL28 黑 [雙參數],-1716.208,-1718.4,1.648,0.096,0.128,0.16,0.16
70,Biwin 佰維 Black Opal HX100,48GB(雙通24GBx2),D5-6000 CL28 白 [雙參數],-1756.008,-1758.2,1.696,0.048,0.128,0.16,0.16
71,威剛XPG,32G(雙通16G*2),D5 6000黑/CL28 AMD 超頻優化,-1768.008,-1770.2,1.696,0.048,0.128,0.16,0.16
72,KLEVV(科賦),48GB(雙通24GB*2),DDR5 6000 黑/CL34【雙參數】,-1776.008,-1778.2,1.696,0.048,0.128,0.16,0.16
73,威剛XPG,48G(雙通24G*2),DDR5 6000 黑/CL30【雙參數】,-1816.008,-1818.2,1.696,0.048,0.128,0.16,0.16
74,Biwin 佰維 Black Opal DW100 RGB,48GB(雙通24GBx2),DDR5 6000 銀/CL30【雙參數】,-1816.008,-1818.2,1.696,0.048,0.128,0.16,0.16
75,十銓T-CREATE EXPERT 引領者,48GB(雙通24GB*2),DDR5 6400 銀/CL32【雙參數】,-1816.008,-1818.2,1.696,0.048,0.128,0.16,0.16
76,宏碁 Acer Predator hera RGB,48GB(雙通24GB*2),DDR5 6000 黑/CL28【雙參數】,-1826.56,-1828.8,1.696,0.096,0.128,0.16,0.16
77,美光 Micron Crucial,64GB(雙通32GB*2),DDR5 6000 黑/CL30【雙參數】,-1826.56,-1828.8,1.696,0.096,0.128,0.16,0.16
78,美光 Micron Crucial PRO 超頻,64GB(雙通32GB*2),DDR5 6000 黑/CL28【雙參數】,-1826.56,-1828.8,1.696,0.096,0.128,0.16,0.16
79,美光 Micron Crucial PRO 超頻,96GB(雙通48GB*2),DDR5 6000銀/CL30【雙參數】,-1826.56,-1828.8,1.696,0.096,0.128,0.16,0.16
80,海盜船 VENGEANCE,64G(32G*2),DDR5 6000黑/CL30【雙參數】,-1826.56,-1828.8,1.696,0.096,0.128,0.16,0.16
81,美光 Micron Crucial NB,64GB,DDR5 6000銀/CL30【雙參數】,-1826.56,-1828.8,1.696,0.096,0.128,0.16,0.16
82,美光 Micron Crucial NB,雙通64G*2,DDR5 6000黑/CL30【雙參數】,-1826.56,-1828.8,1.696,0.096,0.128,0.16,0.16
83,金士頓,48GB,DDR5 6000銀/CL30【雙參數】,-1826.56,-1828.8,1.696,0.096,0.128,0.16,0.16
84,威剛XPG,64G(雙通32G*2),DDR5 6400黑/CL32【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
85,Biwin Opal DW100 OC Lab聯名款RGB,192G(四通48G*4),DDR5 6800黑/CL34【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
86,宏碁 Acer Predator Pallas II,48GB(雙通24GB*2),DDR5 6800銀/CL34【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
87,宏碁 Acer Predator Pallas II,64GB(雙通32GB*2),DDR5 6800黑/CL32【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
88,宏碁 Acer Predator Pallas II,96GB(雙通48GB*2),DDR5 6000黑/CL28【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
89,宏碁 Acer HT200,64GB(雙通32GB*2),DDR5 6000白/CL28【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
90,宏碁 Acer Predator Hermes RGB,48GB(雙通24GB*2),DDR5 6800黑/CL34【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
91,宏碁 Acer Predator Hermes RGB,64GB(雙通32GB*2),D5 6400黑/CL32【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
92,宏碁 Acer Predator hera RGB,32GB(雙通16GB*2),D5 6400白/CL32【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
93,宏碁 Acer Predator hera OC Lab RGB,192G(四通48G*4),DDR5 8000黑/CL36【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
94,KLEVV(科賦),64GB(雙通道32GB*2),DDR5 8000銀/CL36【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
95,海盜船 DOMINATOR TITANIUM,32G(16G*2),DDR5 8400黑/CL40【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
96,芝奇Flare X5 烈焰槍,32GB(雙通16G*2),DDR5 8400銀/CL40【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
97,芝奇Flare X5烈焰槍,64GB(雙通32G*2),D5 6000金/CL28 AMD 超頻優化,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
98,芝奇Flare X5 烈焰槍,64GB(雙通32G*2),DDR5 6000 CRAS V RGB/CL30 曜石黑【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
99,芝奇 Ripjaws S5焰刃,64GB(雙通32G*2),DDR5 6000 CRAS V RGB/CL30 晶燦白【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
100,芝奇 Ripjaws S5焰刃,96GB(雙通48G*2),DDR5 6000 CRAS V RGB/CL30 曜石黑【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
101,芝奇 RipjawsM5 RGB焰刃,96GB(48G*2),DDR5 6000 CRAS V RGB/CL30 晶燦白【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
102,芝奇 烈焰槍RGB,64GB(雙通32G*2),DDR5 6000/CL30 BOLT V 【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
103,芝奇 烈焰槍RGB,96GB(雙通48G*2),DDR5 6400/CL32 BOLT V 【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
104,芝奇 幻鋒戟RGB,64GB(雙通32G*2),DDR5 6400/CL32 CRAS V RGB 曜石黑 【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
105,芝奇 幻鋒戟RGB,128GB(雙通64G*2),DDR5 6400/CL32 CRAS V RGB 晶燦白 【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
106,芝奇 焰鋒戟RGB,64GB(雙通32GB*2),DDR5 6400/CL32 CRAS V RGB 曜石黑 【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
107,芝奇 焰鋒戟RGB,128GB(雙通64GB*2,DDR5 6400/CL32 CRAS V RGB 晶燦白 【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
108,芝奇 皇家戟RGB,64GB(雙通32GB*2),D5 6000/CL30 URBANE V RGB (低矮散熱【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
109,芝奇 皇家戟RGB,96GB(雙通48GB*2),D5 6000/CL28 URBANE V RGB (低矮散熱【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
110,芝奇 G5,128G(16G*8),D5 6400/CL32 URBANE V RGB (低矮散熱【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
111,芝奇 G5,128G(32G*4),D5 6400/CL30 URBANE V RGB (低矮散熱【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
112,芝奇 G5,64G(16G*4),D5 6000/CL30 URBANE V RGB (低矮散熱【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
113,芝奇 G5 NEO,64G(16G*4),D5 6400/CL32 URBANE V RGB (低矮散熱【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
114,芝奇 G5 NEO,128G(32G*4),DDR5-5600/CL36 FURY Beast白【雙參數】,-1826.608,-1828.8,1.696,0.048,0.128,0.16,0.16
115,芝奇 幻鋒戟RGB,48GB(雙通24G*2),DDR5-5600/CL36 FURY Beast RGB黑【雙參數】,-1826.624,-1828.8,1.696,0.096,0.064,0.16,0.16
116,芝奇 焰鋒戟RGB,48GB(雙通24GB*2),DDR5-5600/CL36 FURY Beast RGB白【雙參數】,-1826.624,-1828.8,1.696,0.096,0.064,0.16,0.16
117,芝奇 皇家戟RGB,48GB(雙通24GB*2),DDR5-6000/CL30 FURY Beast 黑 (獸獵者)【雙參數】,-1826.624,-1828.8,1.696,0.096,0.064,0.16,0.16
118,金士頓,32GB,DDR5-6000/CL30 FURY Beast 白 (獸獵者)【雙參數】,-1826.624,-1828.8,1.696,0.096,0.064,0.16,0.16
119,金士頓,64GB,DDR5-6000/CL30 FURY Beast RGB黑 【雙參數】,-1826.624,-1828.8,1.696,0.096,0.064,0.16,0.16
120,芝奇 幻鋒戟RGB,32GB(雙通16G*2),DDR5-6400/CL32 FURY Beast 黑 (獸獵者)【雙參數】,-1826.672,-1828.8,1.696,0.048,0.064,0.16,0.16
121,芝奇 皇家戟RGB,32GB(雙通16GB*2),DDR5-6400/CL32 FURY Beast 白 (獸獵者)【雙參數】,-1826.672,-1828.8,1.696,0.048,0.064,0.16,0.16
122,金士頓,64GB(雙通32GB*2),DDR5-6400/CL32 FURY Beast RGB黑【雙參數】,-1827.456,-1828.8,0.848,0.048,0.128,0.16,0.16
,,,DDR5-6400/CL32 FURY Beast RGB白【雙參數】,,,,,,,
,,,DDR5-5600/CL36 FURY Beast 黑 (獸獵者)【雙參數】,,,,,,,
,,,DDR5-5600/CL36 FURY Beast 白 (獸獵者)【雙參數】,,,,,,,
,,,DDR5-6000/CL30 FURY Beast 黑 (獸獵者)【雙參數】,,,,,,,
,,,DDR5-6000/CL30 FURY Beast 白 (獸獵者)【雙參數】,,,,,,,
,,,DDR5-6000/CL30 FURY Beast RGB黑【雙參數】,,,,,,,
,,,DDR5-6000/CL30 FURY Beast RGB白【雙參數】,,,,,,,
,,,DDR5-6400/CL32 FURY Beast 黑 (獸獵者)【雙參數】,,,,,,,
,,,DDR5-6400/CL32 FURY Beast 白 (獸獵者)【雙參數】,,,,,,,
,,,DDR5-6400/CL32 FURY Beast RGB黑【雙參數】,,,,,,,
,,,DDR5-6400/CL32 FURY Beast RGB白【雙參數】,,,,,,,
,,,DDR5-6400 FURY Renegade RGB黑(KF564C32RSAK2-32),,,,,,,
,,,DDR5-7200 FURY Renegade RGB黑(KF572C38RSAK2-32),,,,,,,
,,,DDR5-7200 FURY Renegade RGB銀白(KF572C38RWAK2-32),,,,,,,
,,,D5-6000/CL30 黑色【雙參數】,,,,,,,
,,,D5-6000/CL30 白色【雙參數】,,,,,,,
,,,D5-6000(CL30)黑【雙參數】頂規十層PCB,,,,,,,
,,,D5-6000(CL30)白【雙參數】頂規十層PCB,,,,,,,
,,,DDR5-6400/CL32 黑色【雙參數】,,,,,,,
,,,DDR5-6400/CL32 白色【雙參數】,,,,,,,
,,,DDR5-7200/CL34 黑色【雙參數】,,,,,,,
,,,DDR5-7200/CL34 白色【雙參數】,,,,,,,
,,,D5-6400/CL32 黑色~頂規十層PCB,,,,,,,
,,,D5-6400/CL32 白色~頂規十層PCB,,,,,,,
,,,D5-6400/CL32 黑色~頂規十層PCB,,,,,,,
,,,D5-6400/CL32 白色~頂規十層PCB,,,,,,,
,,,DDR5-7200/CL34 白色【雙參數】,,,,,,,
,,,DDR5-7200/CL34 粉紅色【雙參數】,,,,,,,
,,,DDR5 4800/CL40 支援 XMP,,,,,,,
,,,DDR5 5600/CL46(原生顆粒)【雙參數】,,,,,,,
,,,DDR5 5600/CL46【雙參數】,,,,,,,
,,,DDR5 5600/CL46【雙參數】,,,,,,,
,,,D5 6000/CL40 黑色散熱片【雙參數】,,,,,,,
,,,D5 6000/CL40 白色散熱片【雙參數】,,,,,,,
,,,D5 6400/CL38 黑色散熱片【雙參數】,,,,,,,
,,,D5 6400/CL38 白色散熱片【雙參數】,,,,,,,
,,,D5 6400/CL40 黑色散熱片【雙參數】,,,,,,,
,,,D5 6400/CL40 白色散熱片【雙參數】,,,,,,,
,,,D5-5600/CL40黑RGB(CMH32GX5M2B5600C40K)XMP,,,,,,,
,,,D5-6000/CL36 灰(CMK32GX5M2E6000Z36)雙參數,,,,,,,
,,,D5-6000/CL36 灰RGB(CMH32GX5M2E6000Z36)雙,,,,,,,
,,,D5-6000/CL30 灰RGB(CMH32GX5M2B6000Z30K)雙,,,,,,,
,,,D5-6400/CL36 灰(CMK32GX5M2B6400Z36)雙參數,,,,,,,
,,,D5-6400/CL36 灰RGB(CMH32GX5M2B6400Z36)雙,,,,,,,
,,,D5-6400/CL32 灰(CMK32GX5M2B6400Z32)雙參數,,,,,,,
,,,D5-6400/CL32 灰RGB(CMH32GX5M2B6400Z32)雙,,,,,,,
,,,D5-6400/CL42 灰(CMK64GX5M2B6400C42)XMP,,,,,,,
,,,D5-7200/CL34 黑RGB(CMP32GX5M2X7200C34),,,,,,,
,,,D5-7200/CL34 白RGB(CMP32GX5M2X7200C34W),,,,,,,
,,,D5-6000 CL28黑(F5-6000J2836G16GX2-FX5)EXPO,,,,,,,
,,,D5-6000/CL30黑(F5-6000J3040G32GX2-FX5)雙參數,,,,,,,
,,,D5-6000/CL30白(F5-6000J3040G32GX2-FX5W)雙參數,,,,,,,
,,,D5-6000 CL28黑(F5-6000J2836G32GX2-FX5)EXPO,,,,,,,
,,,D5-6000/CL36黑( F5-6000J3636F16GX2-RS5K)[雙參數],,,,,,,
,,,D5-6000/CL30黑(F5-6000J3040F16GX2-RS5K)XMP,,,,,,,
,,,D5-6000/C36黑(F5-6000J3636F32GX2-RS5K)雙參數,,,,,,,
,,,D5-6000/CL30黑(F5-6000J3040G32GX2-RS5K)XMP,,,,,,,
,,,D5-6000/CL30白(F5-6000J3040G32GX2-RS5W)XMP,,,,,,,
,,,D5-6000/CL30黑(F5-6000J3036F48GX2-RS5K)XMP,,,,,,,
,,,D5-6000/CL36黑(F5-6000J3636F16GX2-RM5RK雙參,,,,,,,
,,,D5-6000/CL36白(F5-6000J3636F16GX2-RM5RW雙參,,,,,,,
,,,D5-6000/CL30黑(F5-6000J3040F16GX2-RM5RK)XMP,,,,,,,
,,,D5-6000/C30黑(F5-6000J3036F48GX2-RM5RK)XMP,,,,,,,
,,,D5-6000/C30白(F5-6000J3036F48GX2-RM5RW)XMP,,,,,,,
,,,D5-6000/CL36黑(F5-6000J3636F32GX2-RM5NRK[雙參數],,,,,,,
,,,D5-6000/CL36白(F5-6000J3636F32GX2-RM5NRW[雙參數],,,,,,,
,,,D5-6000/CL30黑(F5-6000J3036F48GX2-RM5NRK)EXPO,,,,,,,
,,,D5-6000/CL30白(F5-6000J3036F48GX2-RM5NRW)EXPO,,,,,,,
,,,D5-6000/CL30黑( F5-6000J3040F16GX2-TZ5RK)XMP,,,,,,,
,,,D5-6000/CL30白( F5-6000J3040F16GX2-TZ5RW)XMP,,,,,,,
,,,D5-6400/CL32黑( F5-6400J3239G16GX2-TZ5RK)XMP,,,,,,,
,,,D5-6400/CL32白( F5-6400J3239G16GX2-TZ5RW)XMP,,,,,,,
,,,D5-7200/CL34黑(F5-7200J3445G16GX2-TZ5RK)XMP,,,,,,,
,,,D5-7200/CL34白(F5-7200J3445G16GX2-TZ5RW)XMP,,,,,,,
,,,D5-8000/CL40黑(F5-8000J4048F24GX2-TZ5RK)XMP,,,,,,,
,,,D5-8000/CL40白(F5-8000J4048F24GX2-TZ5RW)XMP,,,,,,,
,,,D5-6000/CL30黑(F5-6000J3040G32GX2-TZ5RK)XMP,,,,,,,
,,,D5-6000/CL30白(F5-6000J3040G32GX2-TZ5RW)XMP,,,,,,,
